"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"1","","file:/data/","/data","data","","Done","","Folder","","2026-07-24T07:20:48","false","",""
"2","1","file:/data/lb-00101/","/data/lb-00101","lb-00101","","Done","","Folder","","2026-07-24T08:18:56","false","",""
"3","1","file:/data/lb-00103/","/data/lb-00103","lb-00103","","Done","","Folder","","2026-07-24T08:18:58","false","",""
"4","1","file:/data/lb-00104/","/data/lb-00104","lb-00104","","Done","","Folder","","2026-07-24T08:19:00","false","",""
"5","3","file:/data/lb-00103/lb-00103-03.tif","/data/lb-00103/lb-00103-03.tif","lb-00103-03.tif","Signature","Done","13485030","File","tif","2026-07-24T08:18:58","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"6","3","file:/data/lb-00103/lb-00103-02.tif","/data/lb-00103/lb-00103-02.tif","lb-00103-02.tif","Signature","Done","14981088","File","tif","2026-07-24T08:18:58","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"7","2","file:/data/lb-00101/lb-00101-04.tif","/data/lb-00101/lb-00101-04.tif","lb-00101-04.tif","Signature","Done","18225822","File","tif","2026-07-24T08:18:55","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"8","3","file:/data/lb-00103/lb-00103-04.tif","/data/lb-00103/lb-00103-04.tif","lb-00103-04.tif","Signature","Done","13888086","File","tif","2026-07-24T08:18:57","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"9","2","file:/data/lb-00101/lb-00101-02.tif","/data/lb-00101/lb-00101-02.tif","lb-00101-02.tif","Signature","Done","16982288","File","tif","2026-07-24T08:18:56","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"10","2","file:/data/lb-00101/lb-00101-01.tif","/data/lb-00101/lb-00101-01.tif","lb-00101-01.tif","Signature","Done","18164888","File","tif","2026-07-24T08:18:55","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"11","4","file:/data/lb-00104/lb-00104-01.tif","/data/lb-00104/lb-00104-01.tif","lb-00104-01.tif","Signature","Done","18324554","File","tif","2026-07-24T08:18:59","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"12","2","file:/data/lb-00101/lb-00101-03.tif","/data/lb-00101/lb-00101-03.tif","lb-00101-03.tif","Signature","Done","15937404","File","tif","2026-07-24T08:18:56","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"13","3","file:/data/lb-00103/lb-00103-01.tif","/data/lb-00103/lb-00103-01.tif","lb-00103-01.tif","Signature","Done","14428818","File","tif","2026-07-24T08:18:57","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"14","4","file:/data/lb-00104/lb-00104-02.tif","/data/lb-00104/lb-00104-02.tif","lb-00104-02.tif","Signature","Done","20075754","File","tif","2026-07-24T08:18:59","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"15","4","file:/data/lb-00104/lb-00104-03.tif","/data/lb-00104/lb-00104-03.tif","lb-00104-03.tif","Signature","Done","18882620","File","tif","2026-07-24T08:19:00","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"16","1","file:/data/lb-00105/","/data/lb-00105","lb-00105","","Done","","Folder","","2026-07-24T08:19:02","false","",""
"17","1","file:/data/lb-00102/","/data/lb-00102","lb-00102","","Done","","Folder","","2026-07-24T08:19:04","false","",""
"18","4","file:/data/lb-00104/lb-00104-04.tif","/data/lb-00104/lb-00104-04.tif","lb-00104-04.tif","Signature","Done","17688230","File","tif","2026-07-24T08:19:00","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"19","16","file:/data/lb-00105/lb-00105-04.tif","/data/lb-00105/lb-00105-04.tif","lb-00105-04.tif","Signature","Done","18150412","File","tif","2026-07-24T08:19:01","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"20","16","file:/data/lb-00105/lb-00105-02.tif","/data/lb-00105/lb-00105-02.tif","lb-00105-02.tif","Signature","Done","15882934","File","tif","2026-07-24T08:19:02","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"21","16","file:/data/lb-00105/lb-00105-01.tif","/data/lb-00105/lb-00105-01.tif","lb-00105-01.tif","Signature","Done","17183474","File","tif","2026-07-24T08:19:01","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"22","17","file:/data/lb-00102/lb-00102-04.tif","/data/lb-00102/lb-00102-04.tif","lb-00102-04.tif","Signature","Done","18263070","File","tif","2026-07-24T08:19:03","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"23","16","file:/data/lb-00105/lb-00105-03.tif","/data/lb-00105/lb-00105-03.tif","lb-00105-03.tif","Signature","Done","14377826","File","tif","2026-07-24T08:19:02","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"24","17","file:/data/lb-00102/lb-00102-01.tif","/data/lb-00102/lb-00102-01.tif","lb-00102-01.tif","Signature","Done","17860360","File","tif","2026-07-24T08:19:03","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"25","17","file:/data/lb-00102/lb-00102-03.tif","/data/lb-00102/lb-00102-03.tif","lb-00102-03.tif","Signature","Done","15807606","File","tif","2026-07-24T08:19:04","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
"26","17","file:/data/lb-00102/lb-00102-02.tif","/data/lb-00102/lb-00102-02.tif","lb-00102-02.tif","Signature","Done","17040144","File","tif","2026-07-24T08:19:04","false","","1","fmt/353","image/tiff","Tagged Image File Format",""
